RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
12250,520124000,0,PARK LN E,,1.0 Residential (Urban),Taxable,R-A,,LOT & STRIP LYONS PLACE,0.345,5510
12251,520125000,701,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,01,LOT 1A BK C LYONS PLACE,0.131,5638
12252,520126000,709,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,01,"LOT 2,PT 1&STR SE C LYONS PL",0.319,5553
12253,520127000,711,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 3 & STR SEC C LYONS PL,0.179,5532
12254,520128000,713,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 4 SEC C LYONS PLACE,0.168,5498
12255,520129000,717,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 5 SEC C LYONS PLACE,0.18,5459
12256,520130000,721,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 6 SEC C LYONS PLACE,0.182,5417
12257,520131000,723,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOTS 7 & 8 SEC C LYONS PLACE,0.347,5347
12258,520132000,731,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 9 SEC C LYONS PLACE,0.171,5315
12259,520133000,737,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,01,LOT 10 SEC C LYONS PLACE,0.178,5273
12260,520134000,739,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 11 SEC C LYONS PLACE,0.171,5232
12261,520135000,741,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 12 SEC C LYONS PLACE,0.165,5189
12262,520136000,745,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 13 SEC C LYONS PLACE,0.158,5140
12263,520137000,747,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOTS 14 & 15 SEC C LYONS PLACE,0.298,5063
12264,520139000,761,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 16 SEC C LYONS PLACE,0.14,5017
12265,520140000,763,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-B,,LOT 17 SEC C LYONS PLACE,0.215,4933
12266,520141000,756,LEXINGTON AVE,,1.0 Residential (Urban),Taxable,R-A,,LOT 29 SEC C LYONS PLACE,0.23,4984
